i		j		T
9		27		2.010705
9		28		1.709551
9		29		1.450912
9		30		1.228396
9		31		1.036497
9		32		0.870461
9		33		0.726166
9		34		0.600026
9		35		0.488900
9		36		0.390016
9		37		0.300901
9		38		0.219325
9		39		0.143242
9		40		0.070741
9		41		0.000000
10		1		100.000000
10		2		89.874542
10		3		80.013992
10		4		70.646255
10		5		61.938904
10		6		53.992966
10		7		46.849865
10		8		40.504684
10		9		34.920605
10		10		30.041500
10		11		25.801647
10		12		22.132511
10		13		18.967136
10		14		16.242695
10		15		13.901818
10		16		11.893075
10		17		10.170959
10		18		8.695580
10		19		7.432196
10		20		6.350704
10		21		5.425105
10		22		4.632998
10		23		3.955122
10		24		3.374929
10		25		2.878216
10		26		2.452794
10		27		2.088205
10		28		1.775471
10		29		1.506879
10		30		1.275794
10		31		1.076502
10		32		0.904066
10		33		0.754207
10		34		0.623201
10		35		0.507787
10		36		0.405085
10		37		0.312529
10		38		0.227801
10		39		0.148778
10		40		0.073475
10		41		0.000000
11		1		100.000000
11		2		89.999016
11		3		80.247032
11		4		70.961220
11		5		62.305466
11		6		54.382965
11		7		47.240631
11		8		40.880013
11		9		35.270252
11		10		30.360012
11		11		26.087044
11		12		22.385128
11		13		19.188717
11		14		16.435749
11		15		14.069177
11		16		12.037619
11		17		10.295453
11		18		8.802581
11		19		7.524017
11		20		6.429404
11		21		5.492492
11		22		4.690653
11		23		4.004414
11		24		3.417042
11		25		2.914168
11		26		2.483460
11		27		2.114335
11		28		1.797705
11		29		1.525763
11		30		1.291793
11		31		1.090011
11		32		0.915418
11		33		0.763683
11		34		0.631036
11		35		0.514174
11		36		0.410182
11		37		0.316463
11		38		0.230670
11		39		0.150652
11		40		0.074400
11		41		0.000000
12		1		100.000000
12		2		89.874573
12		3		80.014038
12		4		70.646339
12		5		61.939011
12		6		53.993099
12		7		46.850025
12		8		40.504868
12		9		34.920807
12		10		30.041721
12		11		25.801884
12		12		22.132765
12		13		18.967402
12		14		16.242971
12		15		13.902103
12		16		11.893367
12		17		10.171257
12		18		8.695879
12		19		7.432497
12		20		6.351004
12		21		5.425401
12		22		4.633290
12		23		3.955407
12		24		3.375206
12		25		2.878483
12		26		2.453051
12		27		2.088450
12		28		1.775702
12		29		1.507095
12		30		1.275995
12		31		1.076687
12		32		0.904234
12		33		0.754358
12		34		0.623334
12		35		0.507901
12		36		0.405180
12		37		0.312605
12		38		0.227858
12		39		0.148816
12		40		0.073494
12		41		0.000000
13		1		100.000000
13		2		89.485306
13		3		79.288376
13		4		69.671280
13		5		60.811390
13		6		52.800690
13		7		45.661835
13		8		39.369003
13		9		33.866802
13		10		29.084629
13		11		24.946484
13		12		21.377151
13		13		18.305683
13		14		15.667184
13		15		13.403465
13		16		11.463066
13		17		9.800911
13		18		8.377769
13		19		7.159672
13		20		6.117296
13		21		5.225393
13		22		4.462262
13		23		3.809268
13		24		3.250425
13		25		2.772021
13		26		2.362299
13		27		2.011176
13		28		1.709996
13		29		1.451329
13		30		1.228783
13		31		1.036853
13		32		0.870784
13		33		0.726456
13		34		0.600281
13		35		0.489119
13		36		0.390199
13		37		0.301047
13		38		0.219435
13		39		0.143315
13		40		0.070777
13		41		0.000000
14		1		100.000000
14		2		88.778351
14		3		77.982986
14		4		67.939209
14		5		58.834808
14		6		50.736710
14		7		43.627926
14		8		37.442863
14		9		32.093166
14		10		27.483921
14		11		23.522728
14		12		20.124153
14		13		17.211502
14		14		14.717136
14		15		12.582038
14		16		10.755067
14		17		9.192099
14		18		7.855170
14		19		6.711679
14		20		5.733663
14		21		4.897157
14		22		4.181629
14		23		3.569498
14		24		3.045706
14		25		2.597360
14		26		2.213412
